epoch,learning_rate,lr,train_loss,train_dice_loss,train_bce_loss,val_loss,val_dice_loss,val_bce_loss,val_dice,dice_wt,dice_tc,dice_et,mean_dice
1,0.001,0.001,0.24496543507440083,0.208113651295023,0.03685178349746637,0.3997220136480445,0.3773288936031648,0.02239312068399716,0.8724961598811706,0.8934782384890959,0.8543932891967924,0.8696169519576236,0.8724961598811706
2,0.001,0.001,0.12367034627140255,0.10822847768012596,0.01544186868598238,0.3535917285008347,0.3379064587957966,0.01568526987092475,0.898882073611358,0.9223037420865628,0.8924554918596618,0.8818869868878495,0.898882073611358
3,0.001,0.001,0.11208604678415149,0.09806147760926463,0.014024569199004482,0.3354487064275848,0.32125927678592253,0.01418942946291854,0.9091461273090985,0.9312736988476967,0.8952757002448657,0.9008889828347327,0.9091461273090985
4,0.001,0.001,0.10476112379604995,0.09171722765224308,0.01304389613571865,0.3283196933902148,0.31433628454324225,0.013983408270345964,0.911951258868676,0.935165802075157,0.8993094540488158,0.9013785204820555,0.911951258868676
5,0.001,0.001,0.09970392587541894,0.08738822492918057,0.012315700976017757,0.3374823755642555,0.3237393524963763,0.013743022953162352,0.9129238499718749,0.9362599485897561,0.8998405160924516,0.9026710852334171,0.9129238499718749
6,0.001,0.001,0.09577053890265165,0.08393358174854407,0.011836957191607548,0.36465694897105566,0.34798223317705473,0.016674715542973916,0.8886352491126854,0.9252675285051751,0.8734234120672506,0.8672148067656305,0.8886352491126854
7,0.001,0.001,0.09258906762784039,0.0812091106981552,0.011379956854869092,0.340303913862897,0.3251267858662526,0.015177128736211062,0.9074898707507826,0.9306346823173196,0.8937083550188237,0.8981265749162045,0.9074898707507826
8,0.001,0.001,0.09164716033231171,0.08038298525392643,0.011264175034488276,0.32228320530849464,0.3086848178851487,0.013598387437864672,0.9137170731650787,0.9379841100323407,0.8992552107414893,0.9039118987214062,0.9137170731650787
9,0.001,0.001,0.08865333739806366,0.07775208806995812,0.010901249280458526,0.3190575092255812,0.30691308116994515,0.012144427667973945,0.9191670383327387,0.9395695036209366,0.9096272538976077,0.9083043574796718,0.9191670383327387
10,0.001,0.001,0.08694441775417378,0.07630853444401374,0.0106358832499395,0.33542110264373143,0.319726113614713,0.01569498996585753,0.9083944572520734,0.9323942738275749,0.8907391730545803,0.9020499248740648,0.9083944572520734
11,0.001,0.001,0.08561568859404022,0.07518681352694848,0.010428875040621172,0.31836907747557275,0.3049137192638626,0.013455358591381828,0.9179430674527437,0.9413726197391231,0.9052083102741819,0.9072482723449262,0.9179430674527437
12,0.001,0.001,0.08386129614382808,0.07355900184225928,0.01030229434068642,0.319960751873955,0.3061965857097202,0.013764165951358166,0.9181131370277823,0.9388764263715463,0.9067425254887295,0.9087204592230708,0.9181131370277823
13,0.001,0.001,0.08420099477380275,0.07395408763721545,0.010246907163094614,0.3289862935476438,0.31437965245306326,0.014606640706046994,0.9125390706314511,0.9365399522174229,0.8967211064133839,0.9043561532635466,0.9125390706314511
14,0.001,0.001,0.08131744360650356,0.07135467267450085,0.009962770911635084,0.32410924159419535,0.30970138110233664,0.014407860755174123,0.9147086668811292,0.9363559450227931,0.9043941557758499,0.9033758998447444,0.9147086668811292
15,0.0005,0.0005,0.08015772133075041,0.07029230108835507,0.009865420223277703,0.32300560667532346,0.3089678928698419,0.014037714530573838,0.9150295469586484,0.9380145422164745,0.9007438357192364,0.9063302629402343,0.9150295469586484
16,0.0005,0.0005,0.07640772602761618,0.06710103184064756,0.009306694170314224,0.31329181937529665,0.30023729086746515,0.01305452861508959,0.920888789508799,0.9425013242261141,0.9069402280900782,0.9132248162102049,0.920888789508799
17,0.0005,0.0005,0.07687959148562219,0.06766769862028635,0.009211892853277039,0.3119813847196976,0.2989215064511191,0.01305987832666805,0.920887253968305,0.9434922851613906,0.9096893165991664,0.9094801601443575,0.920887253968305
18,0.0005,0.0005,0.07536340355531931,0.06626091057312031,0.00910249295308139,0.3132867263230658,0.2994856623919958,0.013801064175022262,0.9193298531931285,0.9430882839791467,0.9052950775548285,0.9096061980454102,0.9193298531931285
19,0.0005,0.0005,0.0744234759418787,0.06539497926793598,0.009028496702435341,0.3145768292800284,0.3005277196442119,0.01404910961601762,0.9173471109526116,0.9424745608499268,0.904623354352879,0.9049434176550288,0.9173471109526116
20,0.0005,0.0005,0.07463443012148985,0.06567950313329961,0.008954927001057874,0.3075540534352264,0.29526207137420923,0.012291981894104034,0.9236886217727948,0.9434875467019406,0.9149752957672548,0.9126030228491889,0.9236886217727948
