epoch,learning_rate,lr,train_loss,train_dice_loss,train_bce_loss,val_loss,val_dice_loss,val_bce_loss,val_dice,dice_wt,dice_tc,dice_et,mean_dice
1,0.0001,0.0001,0.6221199416385318,0.5235163098839096,0.09860363166873985,0.39779536330028403,0.3840576415549254,0.013737722039867862,0.9045870363754961,0.9299081546795861,0.8941590149210064,0.8896939395258956,0.9045870363754961
2,0.0001,0.0001,0.10700201346220874,0.09619423184945612,0.010807781678451069,0.30640886385212146,0.29375177495932103,0.01265708952717683,0.9185252098780875,0.9388458451978249,0.9072946539401545,0.9094351304962828,0.9185252098780875
3,0.0001,0.0001,0.0838897469923072,0.0738880157896585,0.010001731224486905,0.2877779334643655,0.2750411730423188,0.012736760644568048,0.9202484819117891,0.9425673188146553,0.9139004902834889,0.9042776366372233,0.9202484819117891
4,0.0001,0.0001,0.07550763158333841,0.06622262119884535,0.009285010425779793,0.2902208594626595,0.27704539616960644,0.013175463013483478,0.9216142833573099,0.9422773291893807,0.9092885601849219,0.913276960697627,0.9216142833573099
5,0.0001,0.0001,0.07129895578809264,0.06249795129562975,0.008801004472904092,0.2800496685696991,0.26681456720823715,0.01323510060729538,0.9224568136429466,0.9408223539717071,0.9140655002602099,0.912482586696923,0.9224568136429466
6,0.0001,0.0001,0.0685309971834639,0.06013001020854822,0.008400986978886263,0.27344181504600606,0.2609176752435181,0.01252413949134062,0.9269301516606979,0.9441835532633261,0.9205887014207453,0.9160182002980223,0.9269301516606979
7,0.0001,0.0001,0.06566474154902148,0.057651353620855085,0.00801338791629141,0.2763975439075663,0.26342254171922586,0.012975001633174357,0.9250155783551713,0.9433376519507984,0.9193456984670767,0.9123633846476388,0.9250155783551713
8,0.0001,0.0001,0.06180640355049011,0.05423716846462318,0.0075692351299477606,0.28573394199066193,0.2712652947932323,0.014468647175023875,0.9214562864843244,0.942704890038622,0.9088512437695075,0.9128127256448438,0.9214562864843244
9,0.0001,0.0001,0.060443795884500724,0.053085550277032274,0.007358245560814083,0.2798075261768034,0.26528271029055106,0.014524816151679889,0.9222997809421178,0.9404104453668126,0.9088993065646893,0.9175895908948517,0.9222997809421178
10,0.0001,0.0001,0.05891178459042003,0.05173214708984171,0.007179637487379802,0.27477652180171414,0.26006856686805474,0.014707954728433429,0.9253349504883435,0.944033971634289,0.9119204635318153,0.920050416298926,0.9253349504883435
11,0.0001,0.0001,0.05637320107416427,0.04957863624174881,0.006794564848591907,0.2767704325976014,0.2628501554201004,0.013920277237185683,0.9245481788331822,0.9442492312682934,0.91729246530992,0.912102839921333,0.9245481788331822
12,5e-05,5e-05,0.05484590634465989,0.04823169194205421,0.006614214437421821,0.2778917168491808,0.2629424659320241,0.0149492503709411,0.9255486578202055,0.9427077701425852,0.9142798378810647,0.9196583654369666,0.9255486578202055
13,5e-05,5e-05,0.04991192347064941,0.04394463096834577,0.005967292519031569,0.2758288901120583,0.26072681017656735,0.015102080063677806,0.9252015551526097,0.9455888244865055,0.9109735637704386,0.9190422772008849,0.9252015551526097
14,5e-05,5e-05,0.048822030398012924,0.04302081278250734,0.005801217647012898,0.272326480652083,0.25768866674325636,0.014637812784315479,0.926268435323422,0.9459778051930707,0.91438849723616,0.9184390035410349,0.926268435323422
15,5e-05,5e-05,0.04737743382666718,0.04172664484870616,0.00565078903704184,0.2739063118639043,0.25861820137987007,0.015288110072105373,0.9264898486861886,0.9458472046160119,0.9141743288031384,0.9194480126394153,0.9264898486861886
16,5e-05,5e-05,0.04638706813493593,0.04086079222961764,0.00552627589524477,0.27725410252144056,0.26060981462352534,0.016644288074724168,0.9229737490948304,0.9441732812642352,0.9107868236449331,0.9139611423753232,0.9229737490948304
17,5e-05,5e-05,0.04575793047110729,0.040338569297650104,0.005419361166361606,0.2742790902878043,0.25811455617248785,0.016164534132907214,0.9244793543371909,0.9447016446548879,0.9112217172504243,0.9175147011062605,0.9244793543371909
18,2.5e-05,2.5e-05,0.04496749188499806,0.03965020487101161,0.0053172870449055346,0.2757720365313082,0.2600297472408749,0.015742289567720953,0.9253374904183719,0.944908928444255,0.9124953999232652,0.9186081428875955,0.9253374904183719
19,2.5e-05,2.5e-05,0.04246017671609761,0.03743781679033875,0.005022359924361794,0.276034979097237,0.25926800220883367,0.016766976444734214,0.9250654161157316,0.9452892515529173,0.9123455914941286,0.9175614053001487,0.9250654161157316
20,2.5e-05,2.5e-05,0.041886120606387335,0.036937024706694334,0.004949095911641522,0.275077344489087,0.2581553933000586,0.01692195136803804,0.9246452409680899,0.9453135161082562,0.9115918973815665,0.9170303094144467,0.9246452409680899
21,2.5e-05,2.5e-05,0.04102273981358821,0.03614865063405679,0.004874089174604959,0.2772809374624704,0.26001906655851703,0.017261870813119303,0.9243191703577772,0.9446665272963187,0.9110221014590961,0.9172688823179168,0.9243191703577772
22,2.5e-05,2.5e-05,0.04079903615557731,0.03598119169867765,0.00481784447531876,0.27781268587041497,0.2602268217844698,0.01758586430505466,0.9244304622392977,0.9444777926968937,0.9119335752082243,0.9168800188127753,0.9244304622392977
