case_id,center_slice_idx,slice_indices,dataset_idx,loss,dice,paths,dice_wt,dice_tc,dice_et
BraTS-GLI-00022-001,126,124 125 126 126 126,227,1.054245948791504,5.607884379088546e-09,outputs_task1/processed_slices/BraTS-GLI-00022-001/BraTS-GLI-00022-001_slice_124.npz|outputs_task1/processed_slices/BraTS-GLI-00022-001/BraTS-GLI-00022-001_slice_125.npz|outputs_task1/processed_slices/BraTS-GLI-00022-001/BraTS-GLI-00022-001_slice_126.npz|outputs_task1/processed_slices/BraTS-GLI-00022-001/BraTS-GLI-00022-001_slice_126.npz|outputs_task1/processed_slices/BraTS-GLI-00022-001/BraTS-GLI-00022-001_slice_126.npz,2.9682396540664513e-09,6.9013110781668274e-09,6.9541026270769635e-09
BraTS-GLI-00022-001,125,123 124 125 126 126,226,1.040413498878479,7.084506759014175e-09,outputs_task1/processed_slices/BraTS-GLI-00022-001/BraTS-GLI-00022-001_slice_123.npz|outputs_task1/processed_slices/BraTS-GLI-00022-001/BraTS-GLI-00022-001_slice_124.npz|outputs_task1/processed_slices/BraTS-GLI-00022-001/BraTS-GLI-00022-001_slice_125.npz|outputs_task1/processed_slices/BraTS-GLI-00022-001/BraTS-GLI-00022-001_slice_126.npz|outputs_task1/processed_slices/BraTS-GLI-00022-001/BraTS-GLI-00022-001_slice_126.npz,3.6710718909205298e-09,8.779631244237862e-09,8.802816253705714e-09
BraTS-GLI-00022-001,124,122 123 124 125 126,225,1.029127597808838,1.2924716408235781e-08,outputs_task1/processed_slices/BraTS-GLI-00022-001/BraTS-GLI-00022-001_slice_122.npz|outputs_task1/processed_slices/BraTS-GLI-00022-001/BraTS-GLI-00022-001_slice_123.npz|outputs_task1/processed_slices/BraTS-GLI-00022-001/BraTS-GLI-00022-001_slice_124.npz|outputs_task1/processed_slices/BraTS-GLI-00022-001/BraTS-GLI-00022-001_slice_125.npz|outputs_task1/processed_slices/BraTS-GLI-00022-001/BraTS-GLI-00022-001_slice_126.npz,4.378283513517545e-09,1.7331021950894865e-08,1.7064845536651774e-08
BraTS-GLI-00022-001,122,120 121 122 123 124,223,1.0282762050628662,2.043945102059297e-08,outputs_task1/processed_slices/BraTS-GLI-00022-001/BraTS-GLI-00022-001_slice_120.npz|outputs_task1/processed_slices/BraTS-GLI-00022-001/BraTS-GLI-00022-001_slice_121.npz|outputs_task1/processed_slices/BraTS-GLI-00022-001/BraTS-GLI-00022-001_slice_122.npz|outputs_task1/processed_slices/BraTS-GLI-00022-001/BraTS-GLI-00022-001_slice_123.npz|outputs_task1/processed_slices/BraTS-GLI-00022-001/BraTS-GLI-00022-001_slice_124.npz,3.999999886872274e-09,2.9069767037981364e-08,2.82485874691929e-08
BraTS-GLI-00022-001,123,121 122 123 124 125,224,1.0240558385849,2.274049570871739e-08,outputs_task1/processed_slices/BraTS-GLI-00022-001/BraTS-GLI-00022-001_slice_121.npz|outputs_task1/processed_slices/BraTS-GLI-00022-001/BraTS-GLI-00022-001_slice_122.npz|outputs_task1/processed_slices/BraTS-GLI-00022-001/BraTS-GLI-00022-001_slice_123.npz|outputs_task1/processed_slices/BraTS-GLI-00022-001/BraTS-GLI-00022-001_slice_124.npz|outputs_task1/processed_slices/BraTS-GLI-00022-001/BraTS-GLI-00022-001_slice_125.npz,4.723665458783444e-09,3.205128251693168e-08,3.144653959452626e-08
