rank,case_id,slice_idx,dataset_idx,dice,hd95,pred_area,gt_area,lesion_ratio,failure_reason,improvement_suggestion,contrast_score,pred_components,path,pred_empty,gt_empty,dice_wt,hd95_wt,pred_area_wt,gt_area_wt,pred_empty_wt,gt_empty_wt,dice_tc,hd95_tc,pred_area_tc,gt_area_tc,pred_empty_tc,gt_empty_tc,dice_et,hd95_et,pred_area_et,gt_area_et,pred_empty_et,gt_empty_et
1,BraTS-GLI-00734-001,24,5586,5.518795547302794e-10,75.01799885644469,132,108,0.002704326923076923,small lesion size,"increase lesion-aware sampling, patch-based training, and small-lesion slice weighting",0.8087549554461773,1,outputs_task1\processed_slices\BraTS-GLI-00734-001\BraTS-GLI-00734-001_slice_024.npz,False,False,4.1666666649305553e-10,75.64785344930208,132,108,False,False,6.060606056932966e-10,75.09318849035215,105,60,False,False,6.329113920044864e-10,74.31295462967985,98,60,False,False
2,BraTS-GLI-00559-000,136,4410,6.433630910558664e-10,nan,0,241,0.006034655448717949,missed lesion / under-segmentation; small lesion size,"increase lesion-aware sampling, patch-based training, and small-lesion slice weighting; increase foreground weighting or try Tversky/Focal Tversky loss",1.331832229798015,0,outputs_task1\processed_slices\BraTS-GLI-00559-000\BraTS-GLI-00559-000_slice_136.npz,True,False,4.1493775916392623e-10,nan,0,241,True,False,7.575757570018365e-10,nan,0,132,True,False,7.575757570018365e-10,nan,0,132,True,False
3,BraTS-GLI-00370-000,40,2682,9.43562609338811e-10,nan,0,108,0.002704326923076923,missed lesion / under-segmentation; small lesion size,"increase lesion-aware sampling, patch-based training, and small-lesion slice weighting; increase foreground weighting or try Tversky/Focal Tversky loss",0.9936639388298454,0,outputs_task1\processed_slices\BraTS-GLI-00370-000\BraTS-GLI-00370-000_slice_040.npz,True,False,9.259259250685871e-10,nan,0,108,True,False,9.52380951473923e-10,nan,0,105,True,False,9.52380951473923e-10,nan,0,105,True,False
4,BraTS-GLI-00608-000,58,4782,1.1292114018101953e-09,28.020016631624348,71,74,0.0018529647435897435,small lesion size; low contrast (score=0.437),"increase lesion-aware sampling, patch-based training, and small-lesion slice weighting; use contrast augmentation, multi-modal balancing, attention gates, and boundary loss",0.43656892515582,2,outputs_task1\processed_slices\BraTS-GLI-00608-000\BraTS-GLI-00608-000_slice_058.npz,False,False,6.849315063801839e-10,28.020016631624348,72,74,False,False,1.351351349525201e-09,nan,0,74,True,False,1.351351349525201e-09,nan,0,74,True,False
5,BraTS-GLI-00237-000,30,1701,1.163101602924912e-09,nan,0,88,0.002203525641025641,missed lesion / under-segmentation; small lesion size,"increase lesion-aware sampling, patch-based training, and small-lesion slice weighting; increase foreground weighting or try Tversky/Focal Tversky loss",2.0677402829912235,0,outputs_task1\processed_slices\BraTS-GLI-00237-000\BraTS-GLI-00237-000_slice_030.npz,True,False,1.1363636350723141e-09,nan,0,88,True,False,1.1764705868512112e-09,nan,0,85,True,False,1.1764705868512112e-09,nan,0,85,True,False
