epoch,learning_rate,lr,train_loss,train_dice_loss,train_bce_loss,val_loss,val_dice_loss,val_bce_loss,val_dice,dice_wt,dice_tc,dice_et,mean_dice
1,0.001,0.001,0.22653946558832086,0.19571592184170414,0.030823543799410786,0.36482996724033623,0.34747195311138335,0.017358013957091842,0.8876215116725877,0.9206897799317386,0.8706440748806852,0.8715306802053394,0.8876215116725877
2,0.001,0.001,0.12201459800770699,0.10684020666574087,0.015174391377995491,0.34708083955822966,0.33210031867813744,0.014980520483523945,0.9032297139477143,0.9291816007493557,0.8865544351741229,0.8939531059196645,0.9032297139477143
3,0.001,0.001,0.10762008913443699,0.09415573965344556,0.01346434951797669,0.34686007174107664,0.33016857510894365,0.01669149636456389,0.8979165468622452,0.9273480074681201,0.8720976051785472,0.8943040279400686,0.8979165468622452
4,0.001,0.001,0.10232996553201426,0.08962309718033196,0.012706868345652893,0.33330831334913663,0.31798546366531577,0.01532284985306767,0.9070028998469862,0.9299963868519308,0.8906983981351047,0.9003139145539233,0.9070028998469862
5,0.001,0.001,0.09529023264447566,0.08340208867108033,0.011888143984865901,0.34423424715289186,0.32899261490399084,0.015241632112221539,0.9073723970091924,0.9280560959105751,0.8963903841690738,0.8976707109479282,0.9073723970091924
6,0.001,0.001,0.09294535842962821,0.08143819526506133,0.011507163123758097,0.3309767303699559,0.3172571652735952,0.013719565105163443,0.9136493140390923,0.9366620395388283,0.9017928844200093,0.9024930181584392,0.9136493140390923
7,0.001,0.001,0.08998716873767232,0.0788787698489963,0.011108398903528934,0.3313801852512166,0.31654727084250717,0.014832914522462498,0.9112409416367209,0.9322096733000333,0.8957635414577216,0.9057496101524074,0.9112409416367209
8,0.001,0.001,0.0871939661165709,0.07649376349882192,0.010700202593999005,0.33442745681599717,0.3185622889233767,0.015865167344632503,0.9080871649112093,0.9172442441533903,0.9065763328021991,0.9004409177780386,0.9080871649112093
9,0.001,0.001,0.08654568431472187,0.07592075045215996,0.010624933845282528,0.3097334099260949,0.29640160730135556,0.013331802442864357,0.9189337559604978,0.9370648488227408,0.9100519282547939,0.9096844908039587,0.9189337559604978
10,0.001,0.001,0.08366571014081436,0.07343578824857842,0.010229921849294802,0.3121718465487868,0.29923361887131145,0.012938227745933225,0.9208495851842756,0.9412756751028946,0.9089670216303596,0.9123060588195725,0.9208495851842756
11,0.001,0.001,0.08392189563817179,0.07362410838551174,0.010297787260895334,0.30996645486988533,0.29745848210794584,0.012507972671090635,0.9217924013610341,0.9393173133397575,0.9147079697959071,0.9113519209474377,0.9217924013610341
12,0.001,0.001,0.08102889227526891,0.0710408108721558,0.00998808142579692,0.3079072838723357,0.2956040046449332,0.01230327944047859,0.9238674717742493,0.9425333322047063,0.9159829439530425,0.9130861391649991,0.9238674717742493
13,0.001,0.001,0.080307791382192,0.0704632816836532,0.009844509726479949,0.3231557078236056,0.30927025748048603,0.013885449942297557,0.9185429172331129,0.9422124620025902,0.9043874925929983,0.9090287971037498,0.9185429172331129
14,0.001,0.001,0.08007528961290686,0.07032445434892082,0.009750835249353699,0.31049145517203897,0.2971186390738822,0.013372815982383976,0.921687576800409,0.9379383107022329,0.9135509537818265,0.9135734659171675,0.921687576800409
15,0.001,0.001,0.07898359838446678,0.06937151630940679,0.009612082090574677,0.3101087035958657,0.2963057338569452,0.01380297033834047,0.9224710794240898,0.9395913537577598,0.9113051787907572,0.9165167057237524,0.9224710794240898
16,0.001,0.001,0.078306067878486,0.06877668035100012,0.009529387514397664,0.30940861442282064,0.29595454885092404,0.013454065286559477,0.9207138394099313,0.9418981209488761,0.9103786847086245,0.9098647125722934,0.9207138394099313
17,0.001,0.001,0.07614246620397357,0.06681865606366995,0.009323810177877105,0.3134142612781781,0.29987731873818957,0.01353694331030586,0.9198204705523411,0.939840475891947,0.9091736345886055,0.9104473011764704,0.9198204705523411
18,0.001,0.001,0.07578666512727192,0.06654987349275653,0.009236791599294844,0.30584394217172695,0.2927625860779744,0.013081356595754844,0.9241151279213778,0.9436697354925767,0.9132019499608918,0.9154736983106648,0.9241151279213778
19,0.001,0.001,0.076181893028553,0.06704725940283414,0.009134633592336537,0.3025551400700595,0.28910986523611143,0.013445274318926191,0.9229137239973264,0.9445012622527126,0.9123458203992341,0.9118940893400322,0.9229137239973264
20,0.001,0.001,0.07518417597141722,0.06613174199730924,0.009052433974585912,0.30243377291673756,0.28921148215841896,0.013222290022503462,0.9229642146562284,0.9427171000997533,0.9103819661867167,0.9157935776822151,0.9229642146562284
21,0.001,0.001,0.07322443788054993,0.06434025120277757,0.00888418665766209,0.3149777464464636,0.3013674628251369,0.013610284015044416,0.9204198223594847,0.944295456538785,0.9053316870700489,0.9116323234696204,0.9204198223594847
22,0.001,0.001,0.07204728355619762,0.06326225214088846,0.008785031460566464,0.31348914690967955,0.29902902104582496,0.014460125734057845,0.9190376826427084,0.9408543811873917,0.9082068235664977,0.9080518431742357,0.9190376826427084
23,0.001,0.001,0.07207387040776418,0.06332312330789482,0.008750747101266422,0.3052979571798207,0.2920244977415077,0.013273459426910763,0.9239670921784991,0.9439558491514036,0.9144897210918828,0.9134557062922106,0.9239670921784991
24,0.0005,0.0005,0.07162778009450983,0.06289668625331539,0.008731093892370865,0.30661872418848307,0.29260326419058746,0.01401546053362472,0.9227283654962002,0.9428748195328169,0.9097840947744797,0.9155261821813039,0.9227283654962002
25,0.0005,0.0005,0.06828223316320382,0.060052824357679516,0.008229408823244877,0.30439891993613816,0.29120907756795106,0.013189842204493724,0.9246361784931761,0.9458785149835418,0.912273840533059,0.9157561799629275,0.9246361784931761
26,0.0005,0.0005,0.06795439692106779,0.05984403554643667,0.008110361384116402,0.3052126681264343,0.2917595162271198,0.01345315164623454,0.9232632484939064,0.9436997493428417,0.9120818906632859,0.9140081054755916,0.9232632484939064
27,0.0005,0.0005,0.0665482838302686,0.05852003620145409,0.008028247633667452,0.30716173344477726,0.29298623388765943,0.01417549952308831,0.92343520165785,0.9441480416142358,0.9120250088377443,0.9141325545215697,0.92343520165785
28,0.0005,0.0005,0.06648266842342018,0.05848975383485265,0.007992914599008692,0.30390052996108874,0.29013685299524555,0.01376367652863582,0.9241062113607933,0.9446686948637133,0.9130963821398932,0.9145535570787732,0.9241062113607933
29,0.0005,0.0005,0.06593644325164809,0.05802274992892137,0.007913693411292803,0.3026392693491688,0.28924639245688505,0.013392876919194257,0.9246022231854646,0.944436539888466,0.9143958641119012,0.9149742655560268,0.9246022231854646
